,OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES,PART_REMOVAL
7733,VST,955,737,32,LT6CX8EX,Q1ZT52FU4G,SZ15F1A,10/11/2017 06:13:00 PM,10/11/2017,17,0,68.0,28.0,0,0,1
7734,VST,955,737,32,NYVOVD8K,NQRH2TD2BP,S8K9E6F,2/9/2016 02:15:05 PM,4/25/2016,16,0,44.0,4.0,289,289,1
7735,VST,955,737,32,NYVOVD8K,NQRH2TD2BP,S71GF3X,4/25/2016 07:20:23 AM,8/30/2016,16,2,66.0,11.0,406,402,1
7736,VST,955,737,32,NYVOVD8K,NQRH2TD2BP,SSG8PO9,5/2/2016 01:35:09 PM,10/21/2016,16,2,87.0,23.0,519,761,1
7737,VST,955,737,32,NYVOVD8K,NQRH2TD2BP,SNVYBFE,6/2/2016 10:06:14 PM,11/7/2016,16,0,79.0,21.0,469,469,1
7738,VST,955,737,32,NYVOVD8K,NQRH2TD2BP,SZ4QC0Y,10/7/2016 02:27:06 PM,1/2/2017,16,0,23.0,5.0,143,451,1
7739,VST,955,737,32,NYVOVD8K,NQRH2TD2BP,S6PD8OK,10/18/2016 05:29:14 PM,1/2/2017,16,0,13.0,4.0,110,110,1
7740,VST,955,737,32,NYVOVD8K,NQRH2TD2BP,SFXZ1BW,10/21/2016 08:34:39 PM,1/2/2017,16,0,10.0,4.0,100,100,1
7741,VST,955,737,32,KRVNUSZO,KAI4445SIT,SBN7IIA,2/24/2017 02:52:07 PM,4/13/2017,17,0,33.0,26.0,186,394,0
7742,VST,955,737,32,KRVNUSZO,KAI4445SIT,SIEEA7W,2/16/2017 09:52:40 AM,4/20/2017,17,0,48.0,29.0,230,420,0
7743,VST,955,737,32,KRVNUSZO,KAI4445SIT,SRJAJJW,5/13/2017 04:26:00 PM,10/15/2017,17,4,66.0,23.0,325,325,0
7744,VST,955,737,32,KRVNUSZO,KAI4445SIT,SHVXHQ7,5/12/2017 07:08:00 AM,11/24/2017,17,4,92.0,23.0,434,840,0
7745,VST,955,737,32,KRVNUSZO,KAI4445SIT,SYVKS7Y,7/19/2017 07:49:00 AM,12/29/2017,17,0,84.0,15.0,358,832,0
7746,VST,955,737,32,KRVNUSZO,KAI4445SIT,SNDO790,10/19/2017 07:48:00 AM,1/9/2018,17,0,53.0,1.0,248,475,0
7747,VST,955,737,32,KRVNUSZO,KAI4445SIT,S5YFDN0,1/19/2018 08:35:00 AM,3/28/2018,18,2,26.0,1.0,232,775,0
7748,VST,955,737,32,KRVNUSZO,KAI4445SIT,SITVOHR,2/18/2018 05:39:00 PM,4/29/2018,18,0,38.0,1.0,230,1236,1
7749,VST,955,737,32,KRVNUSZO,KAI4445SIT,S8SGNY7,3/31/2018 05:09:00 PM,6/28/2018,18,4,58.0,2.0,288,1293,0
7750,VST,955,737,32,KRVNUSZO,KAI4445SIT,SRTZP28,9/3/2018 06:55:00 AM,10/13/2018,18,0,18.0,2.0,148,1689,0
7751,VST,955,737,32,KRVNUSZO,KAI4445SIT,SMHRUG3,5/31/2018 04:53:00 PM,10/18/2018,18,2,71.0,2.0,443,1448,0
7752,VST,955,737,32,KRVNUSZO,KAI4445SIT,SF6UV4S,9/19/2018 04:28:00 PM,1/5/2019,18,0,31.0,1.0,243,1781,0
7753,VST,955,737,32,KRVNUSZO,KAI4445SIT,S4KM65U,10/18/2018 05:01:00 PM,1/31/2019,18,0,39.0,1.0,223,1426,0
7754,VST,955,737,32,KRVNUSZO,KAI4445SIT,S32GO05,9/25/2018 05:24:00 PM,1/31/2019,18,0,48.0,1.0,305,1087,0
7755,VST,955,737,32,KRVNUSZO,KAI4445SIT,S5YFDN0,12/28/2018 08:12:00 AM,3/17/2019,19,0,48.0,1.0,258,1606,0
7756,VST,955,737,32,KRVNUSZO,KAI4445SIT,SRTZP28,2/23/2019 04:36:00 PM,5/29/2019,19,0,35.0,1.0,300,2231,0
7757,VST,955,737,32,FHBEJT36,K49TK70AOI,S8ODBRD,2/1/2016 10:11:55 PM,4/11/2016,16,2,38.0,3.0,255,255,0
7758,VST,955,737,32,FHBEJT36,K49TK70AOI,SAPOIE6,1/14/2017 07:44:42 AM,3/3/2017,17,0,26.0,17.0,188,188,1
7759,VST,955,737,32,FHBEJT36,K49TK70AOI,SFASU3D,11/9/2017 07:00:00 AM,12/25/2017,18,0,38.0,1.0,148,700,0
7760,VST,955,737,32,FHBEJT36,K49TK70AOI,SCGMHMY,2/21/2018 06:00:00 PM,4/29/2018,18,0,37.0,1.0,222,819,0
7761,VST,955,737,32,FHBEJT36,K49TK70AOI,S81K0D9,3/11/2018 10:50:00 PM,5/17/2018,18,0,39.0,1.0,218,1077,0
7762,VST,955,737,32,FHBEJT36,K49TK70AOI,SO9CAHM,7/27/2018 10:10:00 AM,7/30/2018,18,0,68.0,1.0,10,465,0
7763,VST,955,737,32,FHBEJT36,K49TK70AOI,S37KQF4,1/10/2019 04:26:00 PM,2/10/2019,19,0,17.0,1.0,110,637,1
